metodo,k,lambda,RMSE,MAE,tiempo
ALS,3,0.1,0.9490565346315302,0.7350976188233218,21.38477396965027
SVD,3,,1.1032813514966413,0.9026830910953791,0.5382132530212402
ALS,6,0.1,1.0082922043755056,0.7684799579539539,31.79000425338745
SVD,6,,1.0881831631340302,0.8896619266358382,0.459702730178833
ALS,9,0.1,1.073464770938598,0.8077258963830727,31.116198301315308
SVD,9,,1.0795395482045165,0.8822616985325007,0.5218055248260498
ALS,12,0.1,1.1311727640475395,0.8469494691125529,31.15628671646118
SVD,12,,1.0786455154336183,0.8816105161130064,0.46833181381225586
ALS,15,0.1,1.1743271065047676,0.8813726342864289,31.027318716049194
SVD,15,,1.0805606993856098,0.8831690738064283,0.46276426315307617
